"word","n"
"responsible host",15
"restaurant nearby",15
"restaurants cafes",15
"save money",15
"sehr nett",15
"shopping complex",15
"si vous",15
"somerset station",15
"sound proofing",15
"stay convenient",15
"stay pleasant",15
"suite bathroom",15
"super cozy",15
"super smooth",15
"super spacious",15
"surprisingly quiet",15
"time highly",15
"tourist information",15
"wanna stay",15
"war super",15
"waren sehr",15
"warmly welcomed",15
"wie beschrieben",15
"wifi signal",15
"zimmer mit",15
"absolutely clean",14
"absolutely wonderful",14
"air cond",14
"apartment block",14
"appr ci",14
"approximately minute",14
"basic toiletries",14
"bed clean",14
"bed linen",14
"bed nice",14
"bit tight",14
"bit worried",14
"body soap",14
"bonne adresse",14
"botanic garden",14
"business traveller",14
"bustling city",14
"busy day",14
"clean breakfast",14
"clean excellent",14
"clean studio",14
"comfortable accommodation",14
"common kitchen",14
"cost effective",14
"daily cleaning",14
"day trip",14
"de bus",14
"domestic helper",14
"ein paar",14
"el lugar",14
"equipped apartment",14
"est muy",14
"expected clean",14
"extra mattress",14
"extremely welcominuteg",14
"fd mrt",14
"feel home",14
"filtered water",14
"flexible check",14
"food joints",14
"food shopping",14
"fridge freezer",14
"frog porridge",14
"gep ck",14
"golden retriever",14
"guest house",14
"hawker markets",14
"heavy luggages",14
"hilfsbereit und",14
"host check",14
"hot plate",14
"housekeeping service",14
"il faut",14
"incredibly clean",14
"india station",14
"klein aber",14
"konnten wir",14
"late hours",14
"le studio",14
"living experience",14
"local information",14
"local supermarket",14
"location apartment",14
"location central",14
"location cleanliness",14
"location quick",14
"loud music",14
"low price",14
"metro lines",14
"metro stop",14
"mixed dorm",14
"mrt cards",14
"mrt metro",14
"mrt supermarket",14
"nearest metro",14
"nice facilities",14
"nice hospitality",14
"nice service",14
"nice views",14
"nice walk",14
"nicely located",14
"overnight stay",14
"people talking",14
"perfect close",14
"perfect communication",14
"photos don",14
"pour les",14
"pretty central",14
"previous guests",14
"qu il",14
"queen sized",14
"quick replies",14
"raffles hotel",14
"safe environment",14
"sehr schnell",14
"separate bathroom",14
"shared facilities",14
"shop nearby",14
"short ride",14
"singapore perfect",14
"sparking clean",14
"speak english",14
"station highly",14
"stop mrt",14
"suntec city",14
"sweet host",14
"tasty food",14
"ten minuteute",14
"time booking",14
"time visiting",14
"todo lo",14
"tourist attraction",14
"tourist pass",14
"um die",14
"understanding host",14
"unterkunft war",14
"wohnung ist",14
"yishun mrt",14
"affordable accommodation",13
"amenities clean",13
"amenities location",13
"appartement tr",13
"atlantis pods",13
"basic cooking",13
"basic kitchen",13
"bathroom facilities",13
"bathroom shower",13
"bb ntu",13
"bed comfortable",13
"blue penguin",13
"brilliant location",13
"budget accommodation",13
"buena ubicaci",13
"bus train",13
"business travellers",13
"care taker",13
"central close",13
"chris val",13
"circuit breaker",13
"clean air",13
"clean check",13
"clean staff",13
"close mrt",13
"close walk",13
"coffee maker",13
"cold ac",13
"comfortable environment",13
"convenience location",13
"convenient mrt",13
"conveniently close",13
"cute dogs",13
"de tout",13
"del metro",13
"easy accessible",13
"easy bus",13
"easy location",13
"edwin eddie",13
"el apartamento",13
"es una",13
"exceptional host",13
"experience highly",13
"family home",13
"fast check",13
"food easy",13
"food restaurant",13
"gab es",13
"gibt es",13
"gladly stay",13
"grab app",13
"grab car",13
"gute lage",13
"happy stay",13
"host recommended",13
"hotel stay",13
"impeccably clean",13
"jerome jane",13
"larger apartment",13
"life saver",13
"link card",13
"ll recommend",13
"local singaporean",13
"local transportation",13
"location fast",13
"logement tr",13
"loved singapore",13
"lovely quiet",13
"main house",13
"mall mrt",13
"malls nearby",13
"mid night",13
"money clean",13
"money nice",13
"mrt buses",13
"mrt restaurants",13
"muy amable",13
"nearby mall",13
"neighborhood close",13
"nice trip",13
"people living",13
"perfect apartment",13
"perfectly fine",13
"personal touch",13
"pictures clean",13
"qu une",13
"quick check",13
"quick reply",13
"quiet peaceful",13
"rain shower",13
"real life",13
"recommend people",13
"recommend stay",13
"red district",13
"replies quickly",13
"respond fast",13
"responsive hosts",13
"roof terrace",13
"safe clean",13
"safe quiet",13
"sch nen",13
"security guard",13
"shampoo body",13
"shared spaces",13
"short period",13
"shower door",13
"shower pressure",13
"shower water",13
"singapore communication",13
"speed wifi",13
"spent days",13
"station food",13
"stay quiet",13
"stevens mrt",13
"stevens road",13
"stop minute",13
"super awesome",13
"tastefully furnished",13
"time stay",13
"toilet door",13
"uber ride",13
"underground station",13
"unforgettable experience",13
"west line",13
"wide variety",13
"wonderful hospitality",13
"wonderful people",13
"wonderful view",13
"airbnb map",12
"airbnb munication",12
"airport pick",12
"ann siang",12
"au erdem",12
"awesome pool",12
"bad smell",12
"bath towel",12
"bb susan",12
"bit dusty",12
"bit late",12
"bukit batok",12
"bus route",12
"bus services",12
"cet appartement",12
"cheap eats",12
"cheap restaurants",12
"checkin process",12
"city central",12
"clean bathrooms",12
"clean conveniently",12
"clean facilities",12
"clean kitchen",12
"cleaning services",12
"comfortable close",12
"comfortable home",12
"comfortable living",12
"common bathroom",12
"couple nights",12
"courts nearby",12
"cozy bed",12
"cozy comfortable",12
"cozy house",12
"dans les",12
"day exploring",12
"days staying",12
"delicious breakfast",12
"dem bus",12
"der mrt",12
"dont minuted",12
"dryer combo",12
"eating spots",12
"entire time",12
"extra towels",12
"extremely close",12
"fantastic time",12
"ff stteven",12
"fit people",12
"flight landed",12
"free water",12
"fridge washing",12
"friends family",12
"ghaut mrt",12
"guests feel",12
"haben wir",12
"hat alles",12
"hat es",12
"hatten einen",12
