word,frequency
heavy,119
lavender,119
paper,119
planning,119
serviced,119
tro,119
wet,119
diane,118
ensure,118
helps,118
reviews,118
sgd,118
si,118
te,118
carry,117
doors,117
explained,117
jay,117
means,117
required,117
waiting,117
charminuteg,116
chill,116
completely,116
confortable,116
drink,116
fair,116
groceries,116
ms,116
mustafa,116
kettle,115
low,115
situ,115
backpackers,114
cat,114
replied,114
adequate,113
bother,113
comfortably,113
da,113
drive,113
glass,113
para,113
se,113
situation,113
variety,113
bread,112
hang,112
larger,112
leaving,112
assistant,111
hostels,111
royal,111
added,110
easier,110
fi,110
nympha,110
parking,110
roof,110
wi,110
complaints,109
guide,109
minuteor,109
owens,109
pass,109
positive,109
simon,109
straight,109
tour,109
besar,108
chi,108
gate,108
rules,108
step,108
terrace,108
bella,107
ce,107
ceiling,107
closest,107
extended,107
partner,107
pressure,107
soft,107
trips,107
waited,107
bunk,106
cheaper,106
goh,106
hall,106
head,106
previous,106
bon,105
drop,105
music,105
ntu,105
sands,105
sink,105
surprise,105
eleven,104
expectation,104
importantly,104
loft,104
lucinda,104
pros,104
attached,103
blanket,103
catch,103
curtains,103
detail,103
disappointed,103
dry,103
homey,103
qui,103
sit,103
toast,103
boon,102
chair,102
cheers,102
darren,102
darrick,102
fabulous,102
grace,102
hawkers,102
locker,102
prefer,102
support,102
tons,102
info,101
jour,101
patient,101
direct,100
fruit,100
jiayi,100
linda,100
review,100
thumbs,100
tout,100
von,100
arriving,99
ben,99
gem,99
received,99
stand,99
basically,98
curtain,98
fixed,98
kindness,98
picked,98
rice,98
surprised,98
ants,97
hr,97
lively,97
lrt,97
plugs,97
sind,97
delayed,96
getaway,96
jo,96
kelvin,96
refrigerator,96
richard,96
sleeper,96
surroundings,96
communications,95
community,95
memorable,95
popular,95
question,95
renovated,95
spaces,95
attention,94
brand,94
brilliant,94
logement,94
lost,94
meters,94
moment,94
ne,94
sized,94
wei,94
customer,93
didnt,93
exit,93
hostess,93
pillow,93
pleased,93
prepare,93
raffles,93
upper,93
walks,93
arab,92
equipment,92
heater,92
lights,92
mike,92
outlets,92
plaza,92
una,92
wrong,92
anson,91
beach,91
benny,91
enter,91
fuss,91
happily,91
locals,91
regret,91
takico,91
talking,91
watch,91
amount,90
brought,90
capsules,90
conditioned,90
forget,90
martin,90
pr,90
reliable,90
residence,90
tait,90
wink,90
beautifully,89
body,89
changed,89
complain,89
di,89
dishes,89
flights,89
fort,89
lobby,89
meal,89
nos,89
throw,89
usual,89
al,88
anytime,88
blocks,88
crowded,88
experiences,88
helpfull,88
impressed,88
opportunity,88
par,88
past,88
siang,88
sights,88
stocked,88
upgrade,88
visitors,88
approachable,87
gorgeous,87
informative,87
inquiries,87
lack,87
priscilla,87
waren,87
weather,87
bei,86
direction,86
email,86
english,86
expo,86
follow,86
guess,86
hustle,86
natural,86
nur,86
save,86
sur,86
appliances,85
auf,85
broken,85
bustle,85
canning,85
decor,85
ease,85
humid,85
lane,85
listed,85
mother,85
owners,85
persons,85
properly,85
shuttle,85
stated,85
wardrobe,85
communicated,84
drinking,84
jacuzzi,84
letting,84
maps,84
office,84
play,84
prices,84
rochor,84
beginning,83
clark,83
complimentary,83
experienced,83
fix,83
lebar,83
lived,83
paya,83
safety,83
type,83
wieder,83
agr,82
commute,82
detergent,82
ensuite,82
favorite,82
gesan,82
hairdryer,82
informed,82
journey,82
kitchenette,82
notice,82
running,82
smoothly,82
tan,82
understand,82
units,82
wohnung,82
actual,81
adorable,81
einen,81
female,81
hrs,81
lo,81
mich,81
smart,81
add,80
anna,80
appointed,80
assistance,80
fruits,80
lionel,80
loads,80
period,80
read,80
streets,80
wanna,80
ample,79
art,79
assist,79
cards,79
child,79
couch,79
moved,79
organised,79
patio,79
seamless,79
weren,79
avons,78
departure,78
improved,78
layout,78
lodge,78
petit,78
pictured,78
pond,78
reason,78
slow,78
alot,77
condominuteium,77
cramped,77
exceeded,77
floors,77
haben,77
rate,77
refund,77
schedule,77
sitting,77
accommodations,76
closer,76
communal,76
dark,76
dream,76
electric,76
girl,76
lounge,76
mile,76
queen,76
spending,76
stove,76
supportive,76
timely,76
upgraded,76
closet,75
essentials,75
km,75
locked,75
nus,75
position,75
receptionist,75
sich,75
total,75
traditional,75
washroom,75
climb,74
communicating,74
exceptional,74
kallang,74
katong,74
matter,74
mom,74
similar,74
address,73
avoid,73
cable,73
concerns,73
island,73
keeping,73
oven,73
proper,73
reachable,73
reached,73
remember,73
requested,73
standards,73
tight,73
ate,72
concern,72
dem,72
greet,72
heard,72
list,72
lockers,72
meeting,72
mirror,72
priced,72
rental,72
speed,72
stroll,72
surprisingly,72
tryston,72
vous,72
zoe,72
asia,71
grateful,71
junction,71
negative,71
notre,71
ray,71
sont,71
ur,71
wie,71
allowing,70
bag,70
culture,70
del,70
doorstep,70
earplugs,70
effort,70
prix,70
sch,70
speak,70
spotlessly,70
taste,70
temperature,70
tired,70
vicinity,70
zum,70
amazingly,69
cereal,69
concept,69
erin,69
locate,69
outram,69
sea,69
supplies,69
warmly,69
wide,69
anne,68
answers,68
box,68
chose,68
courteous,68
cuisine,68
inconvenient,68
luxury,68
master,68
maxwell,68
served,68
tickets,68
trains,68
upstairs,68
west,68
accommodated,67
answering,67
backpacker,67
blue,67
dan,67
finally,67
johnny,67
noises,67
normal,67
returning,67
sean,67
tasty,67
tenants,67
attraction,66
authentic,66
board,66
expecting,66
facing,66
filled,66
haven,66
kann,66
lily,66
overnight,66
